genes	logFC	logCPM	PValue	FDR
ENSG00000022267	ENSG00000022267	-4.51303219314395	7.04497321703263	0	0
ENSG00000119927	ENSG00000119927	-4.19128832870823	6.27163443218959	0	0
ENSG00000133800	ENSG00000133800	-4.94174095872348	3.85067213944068	0	0
ENSG00000056998	ENSG00000056998	-3.94383233257713	5.20489928936938	2.08843511828035e-272	1.00860974037349e-268
ENSG00000163815	ENSG00000163815	-3.81852048121856	3.00289828904157	5.78058254962621e-270	2.23338587387358e-266
ENSG00000123612	ENSG00000123612	-4.93698113027954	3.24820242569825	2.23090671686336e-268	7.18277599272772e-265
ENSG00000079308	ENSG00000079308	-2.89812289754432	8.00587616014235	9.77089816487678e-266	2.696488724987e-262
ENSG00000095637	ENSG00000095637	-3.51625352391546	6.82028797179898	1.46633562212089e-262	3.21345254634771e-259
ENSG00000134962	ENSG00000134962	-4.39155582393508	2.54552960312421	1.49710492375657e-262	3.21345254634771e-259
ENSG00000120049	ENSG00000120049	-4.6915493938911	3.65455281496802	1.29521439443148e-260	2.50209516716273e-257
ENSG00000105974	ENSG00000105974	-3.21226131064537	7.25037709534574	1.79321292072985e-258	3.14920792751448e-255
ENSG00000131471	ENSG00000131471	-3.74130679791077	6.32432461237087	4.72347208339402e-248	7.60400280891714e-245
ENSG00000244734	ENSG00000244734	-4.86926710913004	5.05645731856507	2.27981055592128e-244	3.38779848609903e-241
ENSG00000173641	ENSG00000173641	-4.47750236827195	3.73067351394807	9.22926664906379e-234	1.27350695090439e-230
ENSG00000172901	ENSG00000172901	-4.7362206528346	1.35369542963262	4.52127014404242e-229	5.82279310950744e-226
ENSG00000175445	ENSG00000175445	-4.42404349132418	7.04587551857997	7.02544545185874e-227	8.48234720243794e-224
ENSG00000181856	ENSG00000181856	-4.05265006056011	1.96659325193305	3.45743957919185e-226	3.92887163475459e-223
ENSG00000169418	ENSG00000169418	-3.27554647998826	4.29763444812981	1.03598521288985e-221	1.11184235236701e-218
ENSG00000170145	ENSG00000170145	-2.32214674493513	5.99946958637533	3.37902547689598e-214	3.43557969277245e-211
ENSG00000286214	ENSG00000286214	-4.01656230357763	2.72400337123981	1.66063191014849e-210	1.60400436201242e-207
ENSG00000123243	ENSG00000123243	-3.7525805280209	5.68628406390569	3.4875201002459e-208	3.20818634745478e-205
ENSG00000076555	ENSG00000076555	-3.35701243629422	5.96644354540877	9.65235468523179e-204	8.47564490042308e-201
ENSG00000280339	ENSG00000280339	-3.41551826898892	2.43059590148234	2.38305776458538e-203	2.00156129983741e-200
ENSG00000105971	ENSG00000105971	-2.75077849192831	5.59873654614449	1.18091097771776e-201	9.50534927814657e-199
ENSG00000138640	ENSG00000138640	-2.40794296749108	4.66428253324914	6.91498319627616e-199	5.34334581542652e-196
ENSG00000183549	ENSG00000183549	-3.48473995581658	1.65614422313798	1.8971602263487e-196	1.40959004817708e-193
ENSG00000101605	ENSG00000101605	-3.18366607391604	2.49936776984919	7.72390991440429e-195	5.52631450838748e-192
ENSG00000079435	ENSG00000079435	-4.08359200108041	5.69976393368327	1.92136790583509e-194	1.32560661446151e-191
ENSG00000148180	ENSG00000148180	-2.37164128783274	9.36009461203234	7.30447072375091e-189	4.86578501522138e-186
ENSG00000132170	ENSG00000132170	-3.18613284471491	4.15511273109687	2.87978166637313e-187	1.85438740769987e-184
ENSG00000099260	ENSG00000099260	-2.76525129215967	5.42497989645762	1.78486238579849e-185	1.11225714738242e-182
ENSG00000108960	ENSG00000108960	-2.70215956830265	4.95187229432815	5.06645095349327e-185	3.05855310998697e-182
ENSG00000164330	ENSG00000164330	-2.86632382893164	4.37382107993808	1.4069488266826e-184	8.23619316177407e-182
ENSG00000165197	ENSG00000165197	-4.61586710121047	2.18264526604521	3.67674610858317e-184	2.08904062722381e-181
