mirbase_id	ensembl_gene_id
hsa-mir-1275	ENSG00000132359
hsa-mir-1275	ENSG00000178718
hsa-mir-1275	ENSG00000159202
hsa-mir-1275	ENSG00000120075
hsa-mir-1275	ENSG00000188783
hsa-mir-1275	ENSG00000177889
hsa-mir-1275	ENSG00000174307
hsa-mir-1275	ENSG00000142623
hsa-mir-1275	ENSG00000254726
hsa-mir-1275	ENSG00000075624
hsa-mir-1275	ENSG00000156860
hsa-mir-1275	ENSG00000274070
hsa-mir-1275	ENSG00000141522
hsa-mir-1276	ENSG00000166225
hsa-mir-1276	ENSG00000108654
hsa-mir-1276	ENSG00000115977
hsa-mir-1276	ENSG00000132424
hsa-mir-1276	ENSG00000123562
hsa-mir-1278	ENSG00000157600
hsa-mir-1281	ENSG00000269404
hsa-mir-1286	ENSG00000102858
hsa-mir-1286	ENSG00000145375
hsa-mir-1286	ENSG00000183723
hsa-mir-1286	ENSG00000188803
hsa-mir-1286	ENSG00000071553
hsa-mir-1286	ENSG00000043143
hsa-mir-1286	ENSG00000187079
hsa-mir-1290	ENSG00000053371
hsa-mir-1291	ENSG00000172432
hsa-mir-1291	ENSG00000126247
hsa-mir-1291	ENSG00000100034
hsa-mir-1291	ENSG00000120645
hsa-mir-1293	ENSG00000164930
hsa-mir-1293	ENSG00000121900
hsa-mir-1293	ENSG00000187231
hsa-mir-1293	ENSG00000185219
hsa-mir-1293	ENSG00000083290
hsa-mir-1293	ENSG00000198960
hsa-mir-1293	ENSG00000187514
hsa-mir-1293	ENSG00000184678
hsa-mir-1294	ENSG00000185909
hsa-mir-1294	ENSG00000137710
hsa-mir-1294	ENSG00000148248
hsa-mir-1294	ENSG00000140526
hsa-mir-1294	ENSG00000119682
hsa-mir-1294	ENSG00000100364
hsa-mir-1294	ENSG00000180667
hsa-mir-1294	ENSG00000131779
hsa-mir-1294	ENSG00000161202
hsa-mir-1294	ENSG00000157224
hsa-mir-1294	ENSG00000169429
hsa-mir-1294	ENSG00000136997
hsa-mir-1294	ENSG00000134369
hsa-mir-1294	ENSG00000177125
hsa-mir-1297	ENSG00000112365
hsa-mir-1299	ENSG00000146676
hsa-mir-1299	ENSG00000180667
hsa-mir-1299	ENSG00000186628
hsa-mir-1299	ENSG00000087460
hsa-mir-1299	ENSG00000162664
hsa-mir-1299	ENSG00000123600
hsa-mir-1299	ENSG00000144642
hsa-mir-1303	ENSG00000078043
hsa-mir-1303	ENSG00000151327
hsa-mir-1303	ENSG00000144815
hsa-mir-1303	ENSG00000158805
hsa-mir-1303	ENSG00000179119
hsa-mir-1303	ENSG00000114744
hsa-mir-1303	ENSG00000066405
hsa-mir-1303	ENSG00000069248
hsa-mir-1303	ENSG00000088888
hsa-mir-1303	ENSG00000154473
hsa-mir-1303	ENSG00000170175
hsa-mir-1303	ENSG00000172986
hsa-mir-1305	ENSG00000102780
hsa-mir-1305	ENSG00000133687
hsa-mir-1321	ENSG00000167767
hsa-mir-1321	ENSG00000126003
hsa-mir-1321	ENSG00000196092
hsa-mir-1321	ENSG00000115756
hsa-mir-1321	ENSG00000116604
hsa-mir-1321	ENSG00000112576
hsa-mir-1321	ENSG00000171552
hsa-mir-1321	ENSG00000004455
hsa-mir-1321	ENSG00000187678
hsa-mir-1321	ENSG00000091622
hsa-mir-1321	ENSG00000114554
hsa-mir-1321	ENSG00000114993
hsa-mir-1321	ENSG00000166897
hsa-mir-1321	ENSG00000166833
hsa-mir-1321	ENSG00000109332
hsa-mir-1321	ENSG00000074054
hsa-mir-1321	ENSG00000089169
hsa-mir-1321	ENSG00000100354
hsa-mir-1321	ENSG00000148358
hsa-mir-1321	ENSG00000136830
hsa-mir-1321	ENSG00000105357
hsa-mir-1321	ENSG00000068354
hsa-mir-1321	ENSG00000112658
hsa-mir-1321	ENSG00000173894
hsa-mir-1321	ENSG00000175215
hsa-mir-1321	ENSG00000105656
hsa-mir-1321	ENSG00000140836
hsa-mir-1321	ENSG00000101654
hsa-mir-1321	ENSG00000141753
hsa-mir-1321	ENSG00000197106
hsa-mir-1321	ENSG00000181856
hsa-mir-1321	ENSG00000171456
hsa-mir-1321	ENSG00000082153
hsa-mir-1322	ENSG00000110090
hsa-mir-1322	ENSG00000197702
hsa-mir-1323	ENSG00000170540
hsa-mir-1323	ENSG00000039068
hsa-mir-1323	ENSG00000104643
hsa-mir-1323	ENSG00000148730
hsa-mir-1323	ENSG00000198830
hsa-mir-1323	ENSG00000141433
hsa-mir-1323	ENSG00000242265
hsa-mir-1324	ENSG00000105507
hsa-mir-1324	ENSG00000128965
hsa-mir-1324	ENSG00000119335
hsa-mir-133b	ENSG00000117569
hsa-mir-133b	ENSG00000158710
hsa-mir-133b	ENSG00000140443
hsa-mir-133b	ENSG00000064666
hsa-mir-133b	ENSG00000171552
hsa-mir-133b	ENSG00000185591
hsa-mir-133b	ENSG00000143384
hsa-mir-133b	ENSG00000075426
hsa-mir-133b	ENSG00000028277
hsa-mir-133b	ENSG00000183770
hsa-mir-133b	ENSG00000085719
hsa-mir-133b	ENSG00000157227
hsa-mir-133b	ENSG00000118816
hsa-mir-133b	ENSG00000092201
hsa-mir-133b	ENSG00000025800
hsa-mir-133b	ENSG00000054598
hsa-mir-1470	ENSG00000008513
hsa-mir-1470	ENSG00000167118
hsa-mir-1470	ENSG00000188549
hsa-mir-147a	ENSG00000139174
hsa-mir-147a	ENSG00000164463
hsa-mir-147a	ENSG00000145242
hsa-mir-147a	ENSG00000130477
hsa-mir-147a	ENSG00000163032
hsa-mir-1538	ENSG00000164142
hsa-mir-1539	ENSG00000103257
hsa-mir-1587	ENSG00000119403
hsa-mir-1587	ENSG00000140105
hsa-mir-1825	ENSG00000100354
hsa-mir-1825	ENSG00000204604
hsa-mir-1825	ENSG00000136807
hsa-mir-1825	ENSG00000134954
hsa-mir-1825	ENSG00000128567
hsa-mir-1825	ENSG00000108061
hsa-mir-1825	ENSG00000067082
hsa-mir-1827	ENSG00000221963
hsa-mir-1827	ENSG00000183682
hsa-mir-1827	ENSG00000162493
hsa-mir-1827	ENSG00000167487
hsa-mir-1827	ENSG00000136943
hsa-mir-1827	ENSG00000162813
hsa-mir-1827	ENSG00000164220
hsa-mir-1827	ENSG00000198521
hsa-mir-1827	ENSG00000151576
hsa-mir-1827	ENSG00000171680
hsa-mir-1827	ENSG00000267041
hsa-mir-1827	ENSG00000145782
hsa-mir-1827	ENSG00000143549
hsa-mir-1827	ENSG00000054965
hsa-mir-1827	ENSG00000022567
hsa-mir-1827	ENSG00000124783
hsa-mir-1827	ENSG00000196230
hsa-mir-1827	ENSG00000155111
hsa-mir-1827	ENSG00000116209
hsa-mir-1827	ENSG00000166510
hsa-mir-1827	ENSG00000196705
hsa-mir-1827	ENSG00000154803
hsa-mir-1827	ENSG00000140265
hsa-mir-1827	ENSG00000170191
hsa-mir-1827	ENSG00000271601
hsa-mir-1827	ENSG00000185436
hsa-mir-1827	ENSG00000121039
hsa-mir-1827	ENSG00000156968
hsa-mir-1827	ENSG00000183323
hsa-mir-1827	ENSG00000120868
hsa-mir-1827	ENSG00000182534
hsa-mir-1827	ENSG00000130304
hsa-mir-1827	ENSG00000188177
hsa-mir-1827	ENSG00000176422
hsa-mir-1827	ENSG00000047849
hsa-mir-1827	ENSG00000163946
hsa-mir-1827	ENSG00000158467
hsa-mir-1827	ENSG00000171490
hsa-mir-1827	ENSG00000131263
hsa-mir-1827	ENSG00000145996
hsa-mir-1827	ENSG00000213699
hsa-mir-1827	ENSG00000188033
hsa-mir-1827	ENSG00000108256
hsa-mir-1827	ENSG00000169905
hsa-mir-1827	ENSG00000138798
hsa-mir-1827	ENSG00000087266
hsa-mir-1827	ENSG00000132388
hsa-mir-1827	ENSG00000100228
hsa-mir-1827	ENSG00000099942
hsa-mir-1827	ENSG00000266412
hsa-mir-1827	ENSG00000114126
hsa-mir-1827	ENSG00000065135
hsa-mir-1827	ENSG00000128989
hsa-mir-1827	ENSG00000174804
hsa-mir-1827	ENSG00000114331
hsa-mir-1827	ENSG00000135452
hsa-mir-1827	ENSG00000132763
hsa-mir-1827	ENSG00000136997
hsa-mir-1827	ENSG00000117298
hsa-mir-1827	ENSG00000171365
hsa-mir-1827	ENSG00000001630
hsa-mir-1827	ENSG00000156030
hsa-mir-1827	ENSG00000162241
hsa-mir-1827	ENSG00000100299
hsa-mir-1827	ENSG00000166451
hsa-mir-1827	ENSG00000124313
hsa-mir-1827	ENSG00000090863
hsa-mir-1827	ENSG00000146242
hsa-mir-1827	ENSG00000175376
hsa-mir-184	ENSG00000147439
hsa-mir-184	ENSG00000136802
hsa-mir-1913	ENSG00000088356
hsa-mir-1913	ENSG00000164663
hsa-mir-1913	ENSG00000183762
