"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MRE11A","Previous symbol","MRE11","MRE11 homolog, double strand break repair nuclease","HGNC:7230","11q21"
"T","Previous symbol","TBXT","T-box transcription factor T","HGNC:11515","6q27"
"WHSC1","Previous symbol","NSD2","nuclear receptor binding SET domain protein 2","HGNC:12766","4p16.3"
"CCDC101","Previous symbol","SGF29","SAGA complex associated factor 29","HGNC:25156","16p11.2"
