1	ENSG00000085224
2	ENSG00000140379
3	ENSG00000157764
4	ENSG00000105974
5	ENSG00000134057
6	ENSG00000010610
7	ENSG00000142156
8	ENSG00000131143
9	ENSG00000181885
10	ENSG00000118260
11	ENSG00000168036
12	ENSG00000167986
13	ENSG00000130816
14	ENSG00000173153
15	ENSG00000111640
16	ENSG00000023909
17	ENSG00000111087
18	ENSG00000106571
19	ENSG00000148672
20	ENSG00000082701
21	ENSG00000156515
22	ENSG00000159399
23	ENSG00000196735
24	ENSG00000153029
25	ENSG00000204389
26	ENSG00000136244
27	ENSG00000126456
28	ENSG00000159166
29	ENSG00000143384
30	ENSG00000076242
31	ENSG00000157227
32	ENSG00000198804
33	ENSG00000185499
34	ENSG00000136997
35	ENSG00000133392
36	ENSG00000119013
37	ENSG00000149269
38	ENSG00000124181
39	ENSG00000166851
40	ENSG00000122512
41	ENSG00000140521
42	ENSG00000204531
43	ENSG00000169398
44	ENSG00000179262
45	ENSG00000117748
46	ENSG00000137154
47	ENSG00000117676
48	ENSG00000196154
49	ENSG00000073578
50	ENSG00000104332
51	ENSG00000181449
52	ENSG00000168610
53	ENSG00000185551
54	ENSG00000072274
55	ENSG00000127824
56	ENSG00000186827
57	ENSG00000092445
58	ENSG00000213585
59	ENSG00000166483
60	ENSG00000136936
61	ENSG00000115085
62	ENSG00000121060
63	ENSG00000079277
64	ENSG00000137275
65	ENSG00000141526
66	ENSG00000172071
67	ENSG00000057663
68	ENSG00000131778
69	ENSG00000146457
70	ENSG00000116688
71	ENSG00000087470
72	ENSG00000108179
73	ENSG00000126602
74	ENSG00000167863
75	ENSG00000128050
76	ENSG00000141867
77	ENSG00000180448
78	ENSG00000035664
79	ENSG00000105393
80	ENSG00000198492
81	ENSG00000091542
82	ENSG00000171109
83	ENSG00000184047
84	ENSG00000160803
85	ENSG00000124126
86	ENSG00000162775
87	ENSG00000140718
88	ENSG00000167513
89	ENSG00000172716
90	ENSG00000168404
91	ENSG00000185728
92	ENSG00000184584
