hsa-mir-4500	ENSG00000004399
hsa-mir-4458	ENSG00000168495
hsa-mir-4458	ENSG00000222036
hsa-mir-449a	ENSG00000143190
hsa-mir-206	ENSG00000166794
hsa-mir-4458	ENSG00000158615
hsa-mir-4458	ENSG00000221914
hsa-mir-665	ENSG00000221914
hsa-mir-107	ENSG00000119414
hsa-mir-421	ENSG00000143294
hsa-mir-3666	ENSG00000135378
hsa-mir-4306	ENSG00000167371
hsa-mir-302e	ENSG00000156011
hsa-mir-665	ENSG00000125818
hsa-mir-133b	ENSG00000117569
hsa-mir-3666	ENSG00000144724
hsa-mir-107	ENSG00000146676
hsa-mir-3666	ENSG00000112531
hsa-mir-3666	ENSG00000109113
hsa-mir-449a	ENSG00000125970
hsa-mir-4500	ENSG00000100320
hsa-mir-4500	ENSG00000277564
hsa-mir-449a	ENSG00000072042
hsa-mir-300	ENSG00000162924
hsa-mir-4319	ENSG00000084093
hsa-mir-4458	ENSG00000146083
hsa-mir-107	ENSG00000079102
hsa-mir-107	ENSG00000103449
hsa-mir-6088	ENSG00000156671
hsa-mir-6088	ENSG00000138593
hsa-mir-4458	ENSG00000168758
hsa-mir-23c	ENSG00000130766
hsa-mir-23c	ENSG00000285069
hsa-mir-4644	ENSG00000168066
hsa-mir-107	ENSG00000109171
hsa-mir-4458	ENSG00000165449
hsa-mir-206	ENSG00000177542
hsa-mir-326	ENSG00000167114
hsa-mir-300	ENSG00000130821
hsa-mir-449a	ENSG00000141646
hsa-mir-4458	ENSG00000163104
hsa-mir-4458	ENSG00000072501
hsa-mir-4458	ENSG00000176994
hsa-mir-4458	ENSG00000283741
hsa-mir-4500	ENSG00000176994
hsa-mir-4500	ENSG00000283741
hsa-mir-665	ENSG00000115593
hsa-mir-107	ENSG00000173267
hsa-mir-3666	ENSG00000089006
hsa-mir-4458	ENSG00000185338
hsa-mir-133b	ENSG00000185591
hsa-mir-4644	ENSG00000158480
hsa-mir-665	ENSG00000166068
hsa-mir-206	ENSG00000172296
hsa-mir-4295	ENSG00000161547
hsa-mir-4458	ENSG00000115808
hsa-mir-4458	ENSG00000166900
hsa-mir-206	ENSG00000135823
hsa-mir-3666	ENSG00000135823
hsa-mir-133b	ENSG00000092201
hsa-mir-4458	ENSG00000148248
hsa-mir-4458	ENSG00000280951
hsa-mir-665	ENSG00000148248
hsa-mir-4458	ENSG00000280951
hsa-mir-4458	ENSG00000067715
hsa-mir-133b	ENSG00000158710
hsa-mir-3666	ENSG00000163513
hsa-mir-4458	ENSG00000137801
hsa-mir-23c	ENSG00000166822
hsa-mir-665	ENSG00000151117
hsa-mir-3666	ENSG00000138594
hsa-mir-3666	ENSG00000100354
hsa-mir-543	ENSG00000100354
hsa-mir-760	ENSG00000158882
hsa-mir-4319	ENSG00000164938
hsa-mir-449a	ENSG00000211460
hsa-mir-4458	ENSG00000084652
hsa-mir-4458	ENSG00000086712
hsa-mir-3666	ENSG00000131508
hsa-mir-4465	ENSG00000157741
hsa-mir-4465	ENSG00000144357
hsa-mir-4458	ENSG00000170185
hsa-mir-107	ENSG00000038427
hsa-mir-3666	ENSG00000155975
hsa-mir-3666	ENSG00000196632
hsa-mir-4458	ENSG00000180667
hsa-mir-107	ENSG00000083896
hsa-mir-107	ENSG00000275272
hsa-mir-378f	ENSG00000100811
hsa-mir-4458	ENSG00000168795
hsa-mir-4306	ENSG00000058673
hsa-mir-429	ENSG00000169946
hsa-mir-4500	ENSG00000010539
hsa-mir-4644	ENSG00000161642
hsa-mir-4262	ENSG00000173275
hsa-mir-4458	ENSG00000186017
hsa-mir-4458	ENSG00000122482
hsa-mir-300	ENSG00000198740
