mirna_id	value
hsa-miR-10b-5p	ENSG00000177463
hsa-miR-10b-5p	ENSG00000118260
hsa-miR-10b-5p	ENSG00000119508
hsa-miR-10b-5p	ENSG00000176390
hsa-miR-10b-5p	ENSG00000015171
hsa-miR-125b-5p	ENSG00000111481
hsa-miR-125b-5p	ENSG00000165861
hsa-miR-125b-5p	ENSG00000161642
hsa-miR-125b-5p	ENSG00000135953
hsa-miR-125b-5p	ENSG00000133121
hsa-miR-125b-5p	ENSG00000168610
hsa-miR-125b-5p	ENSG00000156171
hsa-miR-125b-5p	ENSG00000188493
hsa-miR-125b-5p	ENSG00000065882
hsa-miR-125b-5p	ENSG00000167173
hsa-miR-125b-5p	ENSG00000168769
hsa-miR-125b-5p	ENSG00000173320
hsa-miR-125b-5p	ENSG00000163577
hsa-miR-125b-5p	ENSG00000179776
hsa-miR-125b-5p	ENSG00000101945
hsa-miR-125b-5p	ENSG00000106086
hsa-miR-125b-5p	ENSG00000124788
hsa-miR-125b-5p	ENSG00000171791
hsa-miR-125b-5p	ENSG00000113594
hsa-miR-125b-5p	ENSG00000134954
hsa-miR-125b-5p	ENSG00000164236
hsa-miR-125b-5p	ENSG00000129473
hsa-miR-130b-3p	ENSG00000110367
hsa-miR-130b-3p	ENSG00000165322
hsa-miR-130b-3p	ENSG00000147862
hsa-miR-130b-3p	ENSG00000006432
hsa-miR-130b-3p	ENSG00000070214
hsa-miR-130b-3p	ENSG00000168297
hsa-miR-130b-3p	ENSG00000109118
hsa-miR-130b-3p	ENSG00000118200
hsa-miR-130b-3p	ENSG00000155111
hsa-miR-130b-3p	ENSG00000112531
hsa-miR-130b-3p	ENSG00000196628
hsa-miR-130b-3p	ENSG00000162441
hsa-miR-130b-3p	ENSG00000092847
hsa-miR-130b-3p	ENSG00000109113
hsa-miR-130b-3p	ENSG00000133121
hsa-miR-130b-3p	ENSG00000057019
hsa-miR-130b-3p	ENSG00000132170
hsa-miR-130b-3p	ENSG00000157741
hsa-miR-130b-3p	ENSG00000109572
hsa-miR-130b-3p	ENSG00000187231
hsa-miR-130b-3p	ENSG00000143815
hsa-miR-130b-3p	ENSG00000109654
hsa-miR-130b-3p	ENSG00000172009
hsa-miR-130b-3p	ENSG00000133104
hsa-miR-130b-3p	ENSG00000100354
hsa-miR-130b-3p	ENSG00000140948
hsa-miR-130b-3p	ENSG00000170540
hsa-miR-130b-3p	ENSG00000072121
hsa-miR-130b-3p	ENSG00000100625
hsa-miR-130b-3p	ENSG00000110075
hsa-miR-130b-3p	ENSG00000196632
hsa-miR-130b-3p	ENSG00000025039
hsa-miR-130b-3p	ENSG00000198732
hsa-miR-130b-3p	ENSG00000123411
hsa-miR-130b-3p	ENSG00000175895
hsa-miR-130b-3p	ENSG00000158480
hsa-miR-130b-3p	ENSG00000115170
hsa-miR-130b-3p	ENSG00000091831
hsa-miR-130b-3p	ENSG00000144228
hsa-miR-130b-3p	ENSG00000185658
hsa-miR-130b-3p	ENSG00000204116
hsa-miR-130b-3p	ENSG00000138741
hsa-miR-130b-3p	ENSG00000102081
hsa-miR-130b-3p	ENSG00000173559
hsa-miR-139-5p	ENSG00000116833
hsa-miR-139-5p	ENSG00000057019
hsa-miR-139-5p	ENSG00000196233
hsa-miR-139-5p	ENSG00000113448
hsa-miR-139-5p	ENSG00000177125
hsa-miR-141-3p	ENSG00000137693
hsa-miR-141-3p	ENSG00000140443
hsa-miR-141-3p	ENSG00000186314
hsa-miR-141-3p	ENSG00000146776
hsa-miR-141-3p	ENSG00000141448
hsa-miR-144-3p	ENSG00000102531
hsa-miR-144-3p	ENSG00000139324
hsa-miR-144-3p	ENSG00000169047
hsa-miR-145-5p	ENSG00000105810
hsa-miR-145-5p	ENSG00000143549
hsa-miR-145-5p	ENSG00000140443
hsa-miR-145-5p	ENSG00000114993
hsa-miR-145-5p	ENSG00000183049
hsa-miR-145-5p	ENSG00000115947
hsa-miR-145-5p	ENSG00000157554
hsa-miR-145-5p	ENSG00000111859
hsa-miR-145-5p	ENSG00000196935
hsa-miR-145-5p	ENSG00000138594
hsa-miR-145-5p	ENSG00000148700
hsa-miR-145-5p	ENSG00000146386
hsa-miR-145-5p	ENSG00000134954
hsa-miR-145-5p	ENSG00000141646
hsa-miR-145-5p	ENSG00000100201
hsa-miR-145-5p	ENSG00000151694
hsa-miR-145-5p	ENSG00000165527
hsa-miR-145-5p	ENSG00000106366
hsa-miR-145-5p	ENSG00000124782
hsa-miR-145-5p	ENSG00000166747
hsa-miR-145-5p	ENSG00000166949
hsa-miR-154-5p	ENSG00000095787
hsa-miR-155-5p	ENSG00000177200
hsa-miR-155-5p	ENSG00000108219
hsa-miR-155-5p	ENSG00000069667
hsa-miR-155-5p	ENSG00000170144
hsa-miR-155-5p	ENSG00000120071
hsa-miR-155-5p	ENSG00000175216
hsa-miR-155-5p	ENSG00000169213
hsa-miR-155-5p	ENSG00000175387
hsa-miR-155-5p	ENSG00000119401
hsa-miR-181b-5p	ENSG00000100744
hsa-miR-181b-5p	ENSG00000113742
hsa-miR-181b-5p	ENSG00000152465
hsa-miR-181b-5p	ENSG00000091039
hsa-miR-181b-5p	ENSG00000174010
hsa-miR-181b-5p	ENSG00000110888
hsa-miR-181b-5p	ENSG00000146676
hsa-miR-181b-5p	ENSG00000090612
hsa-miR-181b-5p	ENSG00000178074
hsa-miR-181b-5p	ENSG00000131263
hsa-miR-181b-5p	ENSG00000177565
hsa-miR-181b-5p	ENSG00000167081
hsa-miR-181b-5p	ENSG00000215301
hsa-miR-181b-5p	ENSG00000177728
hsa-miR-181b-5p	ENSG00000087095
hsa-miR-181b-5p	ENSG00000147121
hsa-miR-181b-5p	ENSG00000174282
hsa-miR-181b-5p	ENSG00000173889
hsa-miR-181b-5p	ENSG00000186432
hsa-miR-181b-5p	ENSG00000130758
hsa-miR-181b-5p	ENSG00000162407
hsa-miR-181b-5p	ENSG00000099194
hsa-miR-181b-5p	ENSG00000119314
hsa-miR-181b-5p	ENSG00000165527
hsa-miR-181b-5p	ENSG00000156030
hsa-miR-181b-5p	ENSG00000181333
hsa-miR-182-5p	ENSG00000067208
hsa-miR-182-5p	ENSG00000163590
hsa-miR-182-5p	ENSG00000187098
hsa-miR-182-5p	ENSG00000108256
hsa-miR-182-5p	ENSG00000109670
hsa-miR-182-5p	ENSG00000137273
hsa-miR-182-5p	ENSG00000171791
hsa-miR-188-5p	ENSG00000012963
hsa-miR-188-5p	ENSG00000103275
hsa-miR-188-5p	ENSG00000170802
hsa-miR-192-5p	ENSG00000137992
hsa-miR-192-5p	ENSG00000139687
hsa-miR-192-5p	ENSG00000177125
hsa-miR-193a-5p	ENSG00000123213
hsa-miR-195-5p	ENSG00000244687
hsa-miR-195-5p	ENSG00000108061
hsa-miR-195-5p	ENSG00000100697
hsa-miR-195-5p	ENSG00000149554
hsa-miR-195-5p	ENSG00000121989
hsa-miR-195-5p	ENSG00000091527
hsa-miR-195-5p	ENSG00000169641
hsa-miR-195-5p	ENSG00000197183
hsa-miR-195-5p	ENSG00000083896
hsa-miR-195-5p	ENSG00000156504
hsa-miR-195-5p	ENSG00000155858
hsa-miR-195-5p	ENSG00000198742
hsa-miR-195-5p	ENSG00000124208
hsa-miR-195-5p	ENSG00000105778
hsa-miR-195-5p	ENSG00000198517
hsa-miR-195-5p	ENSG00000177565
hsa-miR-195-5p	ENSG00000157625
hsa-miR-195-5p	ENSG00000107864
hsa-miR-195-5p	ENSG00000157954
hsa-miR-195-5p	ENSG00000142864
hsa-miR-195-5p	ENSG00000115998
hsa-miR-195-5p	ENSG00000106993
hsa-miR-195-5p	ENSG00000139697
hsa-miR-195-5p	ENSG00000139163
hsa-miR-195-5p	ENSG00000101752
hsa-miR-195-5p	ENSG00000160551
hsa-miR-195-5p	ENSG00000204619
hsa-miR-195-5p	ENSG00000138685
hsa-miR-195-5p	ENSG00000114030
hsa-miR-195-5p	ENSG00000125266
hsa-miR-195-5p	ENSG00000156735
hsa-miR-195-5p	ENSG00000138071
hsa-miR-195-5p	ENSG00000166233
hsa-miR-195-5p	ENSG00000185129
hsa-miR-195-5p	ENSG00000159792
hsa-miR-195-5p	ENSG00000134308
hsa-miR-195-5p	ENSG00000132612
hsa-miR-195-5p	ENSG00000173267
hsa-miR-195-5p	ENSG00000063587
hsa-miR-195-5p	ENSG00000139116
hsa-miR-195-5p	ENSG00000118971
hsa-miR-195-5p	ENSG00000171791
hsa-miR-195-5p	ENSG00000112715
hsa-miR-195-5p	ENSG00000198925
hsa-miR-195-5p	ENSG00000177125
hsa-miR-195-5p	ENSG00000142192
hsa-miR-195-5p	ENSG00000166575
hsa-miR-195-5p	ENSG00000082153
hsa-miR-195-5p	ENSG00000105173
hsa-miR-195-5p	ENSG00000082258
hsa-miR-196a-5p	ENSG00000158615
hsa-miR-196a-5p	ENSG00000103742
hsa-miR-196a-5p	ENSG00000187772
hsa-miR-196a-5p	ENSG00000139433
hsa-miR-196a-5p	ENSG00000108588
hsa-miR-196a-5p	ENSG00000187109
hsa-miR-196a-5p	ENSG00000141448
hsa-miR-199b-5p	ENSG00000171574
hsa-miR-199b-5p	ENSG00000147408
hsa-miR-199b-5p	ENSG00000163660
hsa-miR-199b-5p	ENSG00000128567
hsa-miR-199b-5p	ENSG00000157404
hsa-miR-200a-3p	ENSG00000141448
hsa-miR-200b-3p	ENSG00000118200
hsa-miR-200b-3p	ENSG00000112531
hsa-miR-200b-3p	ENSG00000065060
hsa-miR-200b-3p	ENSG00000119772
hsa-miR-200b-3p	ENSG00000138443
hsa-miR-200b-3p	ENSG00000148516
hsa-miR-200b-3p	ENSG00000134954
hsa-miR-200b-3p	ENSG00000115963
hsa-miR-200c-3p	ENSG00000108443
hsa-miR-200c-3p	ENSG00000140937
hsa-miR-200c-3p	ENSG00000172667
hsa-miR-200c-3p	ENSG00000110436
hsa-miR-200c-3p	ENSG00000091656
hsa-miR-200c-3p	ENSG00000146938
hsa-miR-200c-3p	ENSG00000108256
hsa-miR-200c-3p	ENSG00000165410
hsa-miR-200c-3p	ENSG00000163930
hsa-miR-200c-3p	ENSG00000115963
hsa-miR-200c-3p	ENSG00000127445
hsa-miR-200c-3p	ENSG00000102580
