ensembl_gene_id	value
ENSG00000123500	7.61419355921957
ENSG00000117650	4.85807914523632
ENSG00000230838	6.12425480741537
ENSG00000127564	4.33668476483783
ENSG00000167779	-3.74820809955988
ENSG00000163815	-4.23551717225756
ENSG00000099953	5.72073864420174
ENSG00000119927	-3.36915222237652
ENSG00000203805	5.76861283445379
ENSG00000034971	-6.3450247578834
ENSG00000169418	-3.5393433112896
ENSG00000090889	4.26645941200184
ENSG00000133800	-4.86800856091977
ENSG00000276043	3.8818403866335
ENSG00000105974	-3.3952145567555
ENSG00000158402	4.02179026328088
ENSG00000165197	-5.71869839367617
ENSG00000166803	3.77080517667675
ENSG00000079308	-2.7110572075534
ENSG00000167434	-6.55692609511184
ENSG00000183856	4.14780686013285
ENSG00000025423	3.26058251309616
ENSG00000066279	4.33577312056572
ENSG00000137812	3.50806594571345
ENSG00000149090	-3.93380474800495
ENSG00000091704	-4.23716091265557
ENSG00000115306	-1.76577551996285
ENSG00000075702	3.40618555826443
ENSG00000072571	3.54898885164111
ENSG00000135127	3.23125838428864
ENSG00000152253	3.13416066211791
ENSG00000169607	3.93395489602585
ENSG00000022267	-4.21636486024905
ENSG00000122641	3.70702129417733
ENSG00000186642	-3.0579913155673
ENSG00000079462	2.48961711926876
ENSG00000143228	3.98746946660102
ENSG00000186185	4.26294794447985
ENSG00000155886	5.62843651770071
ENSG00000077157	-1.94714991084008
ENSG00000169679	3.72210399409741
ENSG00000154736	-3.32269371406884
ENSG00000104415	3.88829612688097
ENSG00000117724	3.51528783388013
ENSG00000077152	3.13139370617095
ENSG00000170145	-2.11929269687211
ENSG00000123485	3.8624289338227
ENSG00000213186	2.45683184386231
ENSG00000118193	4.1942640745167
ENSG00000143476	3.31838872922162
ENSG00000120049	-4.56228629235451
ENSG00000148180	-2.40519818799462
ENSG00000126787	3.7428953906528
ENSG00000129757	-2.97984270503152
ENSG00000171320	3.54220376404978
ENSG00000187730	3.55154060527787
ENSG00000109674	3.91209316668366
ENSG00000138640	-2.19561979469821
ENSG00000261742	4.68047409475231
ENSG00000175063	4.10454644410564
ENSG00000090006	-2.34916095415743
ENSG00000138180	3.58258258753561
ENSG00000170312	3.24116446566054
ENSG00000171848	3.89615678100494
ENSG00000170509	-4.19172107180249
ENSG00000004776	-4.57699070350467
ENSG00000161649	-6.24212558994616
ENSG00000131471	-3.73308747601525
ENSG00000185842	2.34979966724112
ENSG00000088325	3.44231057277773
ENSG00000135451	3.7174519919368
ENSG00000138316	3.78472340920284
ENSG00000165810	-4.12565130188454
ENSG00000137745	6.91491373094271
ENSG00000116678	-2.84193686376485
ENSG00000181856	-4.00289295594328
ENSG00000119771	-2.75473828758487
ENSG00000144031	-2.78214835909329
ENSG00000168078	3.7364999439557
ENSG00000168477	-4.06632903138981
ENSG00000174371	3.79748971530955
ENSG00000103253	3.24977113386315
ENSG00000277494	-4.29114171281075
ENSG00000086717	3.88052991531151
ENSG00000112984	3.65987280274593
ENSG00000089685	3.96068190489056
ENSG00000095637	-3.15414820927297
ENSG00000224958	-3.63441437098309
ENSG00000167100	2.67161424470338
ENSG00000148773	3.62537635279185
ENSG00000105971	-2.70871956571599
ENSG00000010319	-3.26486121309576
ENSG00000123975	2.65672464387202
ENSG00000187824	-2.33252042877916
ENSG00000227467	-3.45499477608827
ENSG00000168497	-4.4079271284536
ENSG00000137727	-2.99683009139309
ENSG00000131747	3.75794913120488
ENSG00000129810	3.72641483972318
ENSG00000106462	2.77171289740538
ENSG00000172156	4.30597332193142
ENSG00000092853	3.45255576134583
ENSG00000164611	3.06160695465416
ENSG00000137807	2.88225788696453
ENSG00000165304	3.74590874340785
ENSG00000100526	2.91180697648419
ENSG00000261327	3.9324180995371
ENSG00000123243	-3.77624312502659
ENSG00000101605	-2.81108778810989
ENSG00000011426	3.59236344053973
ENSG00000173641	-4.38639738288223
ENSG00000161888	3.17980726436651
ENSG00000286322	-4.44176040306261
ENSG00000156970	3.21799554268262
ENSG00000136158	-2.82494894116575
ENSG00000277737	-4.47376990386609
ENSG00000164330	-2.70230113655788
ENSG00000121691	-1.82742195010393
ENSG00000134057	2.34528275562874
ENSG00000165480	3.25048154169591
ENSG00000167900	2.71404203101076
ENSG00000143549	1.22310953760335
ENSG00000182010	2.69738658796806
ENSG00000138160	2.6184888557971
ENSG00000100162	2.82407225477782
ENSG00000165478	-4.65690648693305
ENSG00000109805	3.35877860882641
ENSG00000035499	3.38695065644401
ENSG00000243742	2.95616422783528
ENSG00000186871	3.12743497604131
ENSG00000011523	-1.17621516541579
ENSG00000024526	3.74583634495233
ENSG00000080986	3.3281125918608
ENSG00000104888	-2.98974929973642
ENSG00000162062	2.43552293489922
ENSG00000232679	4.81493962855342
ENSG00000149124	-5.68294071610676
ENSG00000177666	-2.14887155821972
ENSG00000132182	2.16767561295942
ENSG00000072163	-2.19212568544578
ENSG00000177469	-2.4251714507427
ENSG00000111665	3.28514393655597
ENSG00000175445	-4.41359184296905
ENSG00000105011	2.78363598838255
ENSG00000126218	-2.8565792020385
ENSG00000163545	2.34001951377069
ENSG00000168079	-6.17259746326249
ENSG00000135437	-3.46603796947498
ENSG00000135094	3.12040460360956
ENSG00000109686	-1.88130793566243
ENSG00000165072	-3.68077265663149
ENSG00000280339	-3.28794914162951
ENSG00000183682	2.8281423626899
ENSG00000051341	3.26611215683852
ENSG00000237649	3.03555394913266
ENSG00000162849	3.27384235849091
ENSG00000224525	-3.78984471229067
ENSG00000248869	-3.72533583067874
ENSG00000075218	3.21544486484252
ENSG00000099260	-2.66527382056459
ENSG00000101115	3.35719286898129
ENSG00000101331	-2.14811820392194
ENSG00000186466	-4.00671786914878
ENSG00000171241	3.12989887987826
ENSG00000165410	-1.67183507587414
ENSG00000241684	-3.05691169746639
ENSG00000076555	-3.03578489359146
ENSG00000060718	5.96324242369779
ENSG00000278023	3.48345217978884
ENSG00000068976	-2.65850897238754
ENSG00000101003	2.74521964360071
ENSG00000111206	3.4765477531195
ENSG00000124440	-4.5158569793788
ENSG00000245812	-2.78734586903486
ENSG00000122966	2.50307798087113
ENSG00000240654	-3.33514155552978
ENSG00000176438	-2.48533267860885
ENSG00000267603	-3.30552879309334
ENSG00000137225	-2.74761976085843
ENSG00000177363	-3.70738566203175
ENSG00000196549	-3.88931187629491
ENSG00000113648	1.21661827449374
ENSG00000142945	3.25837325735686
ENSG00000258227	3.70633045010496
ENSG00000203711	2.94526954398373
ENSG00000121152	3.03445660399123
ENSG00000129173	3.82472650906895
ENSG00000171819	-5.22814350947991
ENSG00000122952	2.34338175339882
ENSG00000286214	-3.91696475568323
ENSG00000165891	3.51421792902715
ENSG00000211445	-3.63524007055171
ENSG00000159433	-1.852145037319
ENSG00000189129	-3.30088330587793
ENSG00000250961	-4.18151151228625
ENSG00000163884	-3.76571256732252
ENSG00000113594	-2.75189964901562
ENSG00000117155	1.62745298291284
ENSG00000076706	-2.19361778579974
ENSG00000126895	-3.43719396739274
ENSG00000130176	-3.72171472787431
ENSG00000169258	2.92297295140116
ENSG00000226005	-3.57319637704676
ENSG00000286289	-3.13653718507776
ENSG00000166851	3.28295407534082
ENSG00000143799	1.25196321848338
ENSG00000266524	-4.57364665496812
ENSG00000123612	-4.19832348013358
ENSG00000186638	1.98446118482797
ENSG00000188536	-4.58714914938875
ENSG00000087586	2.88565343954239
ENSG00000162407	-1.90545181065662
ENSG00000154839	3.37899542970788
ENSG00000164283	3.15562660157011
